year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1989,Total Biomass,Cool temperate moist forest,35404332.31793148,303464.33501748473,116.66719357940889,"Modified Decay, Turnover and Spinup parameters"
1989,Total Biomass,Cool temperate rain forest,8142087.065239068,69789.00250735159,116.6671935794093,"Modified Decay, Turnover and Spinup parameters"
1989,Total Biomass,Cool temperate wet forest,170295235.37505254,1459666.8536397922,116.66719357941724,"Modified Decay, Turnover and Spinup parameters"
1989,Total Biomass,Warm temperate moist forest,140625.26388939557,1205.3539609117215,116.66719357940931,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Boreal rain forest,1889548.1733374596,109148.48865778596,17.311720909501307,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Boreal wet forest,1563290.9460310861,108616.23682908775,14.392792382330375,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Cool temperate moist forest,4591824.435905362,303464.33501748473,15.131347924759574,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Cool temperate rain forest,1205018.1333590478,69789.00250735159,17.266590581117864,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Cool temperate wet forest,21530916.729350902,1459666.8536397922,14.750569060098814,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Warm temperate moist forest,16104.807679040885,1205.3539609117215,13.36106090103136,"Modified Decay, Turnover and Spinup parameters"
1990,Litter,Boreal rain forest,3437471.948422747,109148.48865778596,31.493536838611462,"Modified Decay, Turnover and Spinup parameters"
1990,Litter,Boreal wet forest,3019015.698754983,108616.23682908775,27.795252228315846,"Modified Decay, Turnover and Spinup parameters"
1990,Litter,Cool temperate moist forest,8661845.571387095,303464.33501748473,28.543207790424614,"Modified Decay, Turnover and Spinup parameters"
1990,Litter,Cool temperate rain forest,2193061.43739512,69789.00250735159,31.424169404973263,"Modified Decay, Turnover and Spinup parameters"
1990,Litter,Cool temperate wet forest,40793622.38270416,1459666.8536397922,27.947214311938446,"Modified Decay, Turnover and Spinup parameters"
1990,Litter,Warm temperate moist forest,31669.161295640148,1205.3539609117215,26.27374391476327,"Modified Decay, Turnover and Spinup parameters"
1990,Soil Carbon,Boreal rain forest,7750608.889369208,109148.48865778596,71.00976829527845,"Modified Decay, Turnover and Spinup parameters"
1990,Soil Carbon,Boreal wet forest,7469897.579487084,108616.23682908775,68.77330496398328,"Modified Decay, Turnover and Spinup parameters"
1990,Soil Carbon,Cool temperate moist forest,20967878.3555596,303464.33501748473,69.09503337303704,"Modified Decay, Turnover and Spinup parameters"
1990,Soil Carbon,Cool temperate rain forest,4951883.745469953,69789.00250735159,70.95507268424306,"Modified Decay, Turnover and Spinup parameters"
1990,Soil Carbon,Cool temperate wet forest,100217716.28792487,1459666.8536397922,68.65793796579284,"Modified Decay, Turnover and Spinup parameters"
1990,Soil Carbon,Warm temperate moist forest,81611.2549809753,1205.3539609117215,67.70729397964155,"Modified Decay, Turnover and Spinup parameters"
1990,Total Biomass,Boreal rain forest,12819852.080367006,109148.48865778596,117.45331738455107,"Modified Decay, Turnover and Spinup parameters"
1990,Total Biomass,Boreal wet forest,12757337.33740251,108616.23682908775,117.45331738455201,"Modified Decay, Turnover and Spinup parameters"
1990,Total Biomass,Cool temperate moist forest,35642892.85569978,303464.33501748473,117.45331738454912,"Modified Decay, Turnover and Spinup parameters"
1990,Total Biomass,Cool temperate rain forest,8196949.861447182,69789.00250735159,117.45331738455086,"Modified Decay, Turnover and Spinup parameters"
1990,Total Biomass,Cool temperate wet forest,171442714.23627335,1459666.8536397922,117.45331738455778,"Modified Decay, Turnover and Spinup parameters"
1990,Total Biomass,Warm temperate moist forest,141572.82133169018,1205.3539609117215,117.45331738455106,"Modified Decay, Turnover and Spinup parameters"
1991,Deadwood,Boreal rain forest,1888817.1501020016,109148.48865778596,17.305023398207773,"Modified Decay, Turnover and Spinup parameters"
